,Name,Sex,Age,Height,Weight,Team,Development_Status,Rank,NOC,Games,Season,City,Sport,Event,Has_Previous_Medal,Count,Medal
663,Andreas Toba,0,0.9412608455382149,1.3231862974761857,1.018757688041984,Germany,Developed,0.6449227400343326,GER,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
664,Marius Eugen Tob,0,2.641532429358324,-0.25350562321019077,-0.024535142019702846,Germany,Developed,0.6449227400343326,GER,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
665,Hiroyuki Tomita,0,1.4270527266296746,0.6474611886105958,0.3548440689118196,Japan,Developed,0.6449227400343326,JPN,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,1.5293532652363717,
666,Hiroyuki Tomita,0,0.45546896444675505,0.6474611886105958,0.3548440689118196,Japan,Developed,0.6449227400343326,JPN,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
667,Cyril Tommasone,0,0.9412608455382149,1.2105654459985875,0.8290680825762227,France,Developed,0.6449227400343326,FRA,2012 Summer,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
668,Yvonne Natalie Tousek,1,-0.27321885719043465,-0.028263920254994135,-0.6884487611498671,Canada,Developed,0.6449227400343326,CAN,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
669,Sean Lanier Townsend,0,-0.030322916644704725,0.08435693122260418,0.734223279843342,United States,Developed,0.6449227400343326,USA,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
670,Dmitrijs Trefilovs,0,0.9412608455382149,0.9853237430433908,0.8290680825762227,Latvia,Developed,0.6449227400343326,LAT,2012 Summer,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
671,Aleksandr Petrovich Tsarevich,0,-0.030322916644704725,1.6610488519089808,1.018757688041984,Belarus,Upper-Middle,-0.8245932981084132,BLR,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
672,Rene Tschernitschek,0,0.45546896444675505,2.111532257819374,1.7775161099050287,Germany,Developed,0.6449227400343326,GER,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
673,Naoya Tsukahara,0,0.45546896444675505,0.6474611886105958,0.9239128853091032,Japan,Developed,0.6449227400343326,JPN,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
674,Naoya Tsukahara,0,1.4270527266296746,0.6474611886105958,0.9239128853091032,Japan,Developed,0.6449227400343326,JPN,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
675,Koko Tsurumi,1,-1.4876985599190842,-2.168060098329362,-1.921431196677315,Japan,Developed,0.6449227400343326,JPN,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
676,Rebecca Naomi Tunney,1,-1.4876985599190842,-1.2670932865085758,-1.8265863939444344,Great Britain,Developed,0.6449227400343326,GBR,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
677,Seda Gurgenovna Tutkhalyan,1,-1.0019066788276243,-1.6049558409413707,-1.0678279720813895,Russia,Upper-Middle,-0.8245932981084132,RUS,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
678,Robert Tvorogal,0,-0.030322916644704725,0.8727028915657924,3.1053433481653574,Lithuania,Developed,0.6449227400343326,LTU,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
679,"Elizabeth Kimberly ""Beth"" Tweddle",1,-0.5161147977361645,-0.14088477173259245,-0.21422474748546408,Great Britain,Developed,0.6449227400343326,GBR,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
680,"Elizabeth Kimberly ""Beth"" Tweddle",1,0.45546896444675505,-0.14088477173259245,-0.21422474748546408,Great Britain,Developed,0.6449227400343326,GBR,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,1.5293532652363717,
681,Halina Tyryk,1,-0.27321885719043465,-0.25350562321019077,-0.7832935638827477,Ukraine,Developing,-2.294109336251159,UKR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
682,Kohei Uchimura,0,0.45546896444675505,-0.028263920254994135,-0.024535142019702846,Japan,Developed,0.6449227400343326,JPN,2012 Summer,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,1.5293532652363717,Gold
683,Kohei Uchimura,0,-0.5161147977361645,-0.028263920254994135,-0.024535142019702846,Japan,Developed,0.6449227400343326,JPN,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,Silver
684,Kohei Uchimura,0,1.4270527266296746,-0.028263920254994135,-0.024535142019702846,Japan,Developed,0.6449227400343326,JPN,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,3.529870920267787,Gold
685,Filip Ude,0,0.21257302390102517,1.0979445945209891,1.3032920962406256,Croatia,Developed,0.6449227400343326,CRO,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
686,Miki Uemura,1,0.21257302390102517,-1.2670932865085758,-1.5420519857457926,Japan,Developed,0.6449227400343326,JPN,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
687,Annika Urvikko,1,-0.030322916644704725,-0.3661264746877891,0.259999266178939,Finland,Developed,0.6449227400343326,FIN,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
688,Marius Daniel Urzic,0,0.6983649049924849,0.3095986341778008,0.259999266178939,Romania,Developed,0.6449227400343326,ROU,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,-0.4711643897950438,
689,Marius Daniel Urzic,0,1.6699486671754045,0.3095986341778008,0.259999266178939,Romania,Developed,0.6449227400343326,ROU,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,1.5293532652363717,
690,Kristina Vaculik,1,-0.27321885719043465,-1.2670932865085758,-1.447207183012912,Canada,Developed,0.6449227400343326,CAN,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
691,Ailen Valente,1,-0.27321885719043465,0.7600820400881941,0.3548440689118196,Argentina,Upper-Middle,-0.8245932981084132,ARG,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
